sampleId	accession	fq
CGG_2_14703	CGG_2_14703-lib-055	/willerslev/datasets/WABI_pipeline/fqs/SEA2_data/ESW_PTHT_CGG2_014703_C1_S3F_AGCATG-TAGCGA_L007_R1_001_20170203_hiseq4a.trim.fq.gz
CGG_2_14703	CGG_2_14703-lib-056	/willerslev/datasets/WABI_pipeline/fqs/SEA2_data/ESW_PTHT_CGG2_014703_C1_S3F_AGCATG-TAGCGA_L007_R1_002_20170202_hiseq6b.trim.fq.gz
CGG_2_14703	CGG_2_14703-lib-057	/willerslev/datasets/WABI_pipeline/fqs/SEA2_data/ESW_PTHT_CGG2_014703_C1_S3F_AGCATG-TAGCGA_L007_R1_002_20170203_hiseq4a.trim.fq.gz
CGG_2_14703	CGG_2_14703-lib-058	/willerslev/datasets/WABI_pipeline/fqs/SEA2_data/ESW_PTHT_CGG2_014703_C1_S3G_TGATCC-TAGCGA_L007_R1_001_20170202_hiseq6b.trim.fq.gz
CGG_2_14703	CGG_2_14703-lib-059	/willerslev/datasets/WABI_pipeline/fqs/SEA2_data/ESW_PTHT_CGG2_014703_C1_S3G_TGATCC-TAGCGA_L007_R1_001_20170203_hiseq4a.trim.fq.gz
CGG_2_14703	CGG_2_14703-lib-060	/willerslev/datasets/WABI_pipeline/fqs/SEA2_data/ESW_PTHT_CGG2_014703_C1_S3G_TGATCC-TAGCGA_L007_R1_002_20170202_hiseq6b.trim.fq.gz
CGG_2_14703	CGG_2_14703-lib-061	/willerslev/datasets/WABI_pipeline/fqs/SEA2_data/ESW_PTHT_CGG2_014703_C1_S3G_TGATCC-TAGCGA_L007_R1_002_20170203_hiseq4a.trim.fq.gz
CGG_2_14703	CGG_2_14703-lib-062	/willerslev/datasets/WABI_pipeline/fqs/SEA2_data/ESW_PTHT_CGG2_014703_C1_S3G_TGATCC-TAGCGA_L007_R1_003_20170202_hiseq6b.trim.fq.gz
CGG_2_14703	CGG_2_14703-lib-063	/willerslev/datasets/WABI_pipeline/fqs/SEA2_data/ESW_PTHT_CGG2_014703_C1_S3G_TGATCC-TAGCGA_L007_R1_003_20170203_hiseq4a.trim.fq.gz
CGG_2_14703	CGG_2_14703-lib-064	/willerslev/datasets/WABI_pipeline/fqs/SEA2_data/ESW_PTHT_CGG2_014703_C1_S3HU_GATGGA-TAGCGA_L007_R1_001_20170202_hiseq6b.trim.fq.gz
CGG_2_14703	CGG_2_14703-lib-065	/willerslev/datasets/WABI_pipeline/fqs/SEA2_data/ESW_PTHT_CGG2_014703_C1_S3HU_GATGGA-TAGCGA_L007_R1_001_20170203_hiseq4a.trim.fq.gz
CGG_2_14703	CGG_2_14703-lib-066	/willerslev/datasets/WABI_pipeline/fqs/SEA2_data/ESW_PTHT_CGG2_014703_C1_S3HU_GATGGA-TAGCGA_L007_R1_002_20170202_hiseq6b.trim.fq.gz
CGG_2_14703	CGG_2_14703-lib-067	/willerslev/datasets/WABI_pipeline/fqs/SEA2_data/ESW_PTHT_CGG2_014703_C1_S3HU_GATGGA-TAGCGA_L007_R1_002_20170203_hiseq4a.trim.fq.gz
